Contact Name,Contact Title,Contact LinkedIn Profile,Contact Location,Company Name,Company Website,Company Size,Revenue,Company LinkedIn
Alex Bevis,Chief Financial Officer,https://www.linkedin.com/in/alex-bevis-54a5b311,"United Kingdom, GB",Frontier Developments,www.frontier.co.uk,501-1000,"$10,000,000 to $50,000,000",https://www.linkedin.com/company/frontier-developments
James Sharman,Chief Technology Officer,https://www.linkedin.com/in/jsharman,"United Kingdom, GB",Climax Studios,www.climaxstudios.com,51-200,"$10,000,000 to $50,000,000",https://www.linkedin.com/company/climax
Mathieu Garaud,Chief Technology Officer,https://www.linkedin.com/in/mathieu-garaud-b6a91230,"France, FR",Pretty Simple,www.prettysimplegames.com,51-200,"$10,000,000 to $50,000,000",https://fr.linkedin.com/company/pretty-simple-games
Stuart Wright,Chief Technology Officer - Publishing,https://www.linkedin.com/in/therealstuartwright,"United Kingdom, GB",SEGA Europe,www.sega.co.uk,501-1000,"$50,000,000 to $100,000,000",https://www.linkedin.com/company/sega-europe-limited
Lenka Kaciakova,Vice President of Human Resources,https://www.linkedin.com/in/lenka-kaciakova-4a27a623,"Germany, DE",Wooga,www.wooga.com,201-500,"$10,000,000 to $50,000,000",https://de.linkedin.com/company/wooga
Jason Wei,Vice President of Engineering,https://www.linkedin.com/in/jasonjwei,"Canada, CA",Demonware,www.demonware.net,51-200,"$10,000,000 to $50,000,000",https://ie.linkedin.com/company/demonware
Tom Perry,Chief Engineer,https://www.linkedin.com/in/tom-perry-35830835,"United Kingdom, GB",Playground Games,www.playground-games.com,201-500,"$10,000,000 to $50,000,000",https://www.linkedin.com/company/playground-games
,Chief Financial Officer,,"United States, US",Vertigo Games,www.vertigo-games.com,51-200,"$1,000,000 to $5,000,000",https://nl.linkedin.com/company/vertigo-games-bv
Christophe Nobileau,President,https://www.linkedin.com/in/christophe-nobileau-151a1b21,"France, FR",Focus Entertainment,www.focus-entmt.com,51-200,"$10,000,000 to $50,000,000",https://fr.linkedin.com/company/focusentertainment
Guillaume De fondaumière,President,https://www.linkedin.com/in/defondaumiere,"France, FR",QUANTIC DREAM,www.quanticdream.com,51-200,"$10,000,000 to $50,000,000",https://fr.linkedin.com/company/quantic-dream
Jasper Schwartz,Chief Executive Officer,https://www.linkedin.com/in/jasperschwartz,"Netherlands, NL",Miniclip Nederland / Gamebasics,www.gamebasics.nl,51-200,"$1,000,000 to $5,000,000",https://www.linkedin.com/company/gamebasics
Jonas Mårtensson,Chief Executive Officer,https://www.linkedin.com/in/jonas-mårtensson-28815712,"Sweden, SE",Mojang Studios,www.minecraft.net,51-200,"$1,000,000 to $5,000,000",https://se.linkedin.com/company/mojangstudios
Phil Mansell,Chief Executive Officer,https://www.linkedin.com/in/phil-mansell-395b931,"United Kingdom, GB",Jagex,www.jagex.com,201-500,"$10,000,000 to $50,000,000",https://www.linkedin.com/company/jagex
Pim Holfve,Chief Executive Officer,https://www.linkedin.com/in/pimholfve,"Sweden, SE",Avalanche Studios Group,www.avalanchestudios.com,201-500,"$10,000,000 to $50,000,000",https://www.linkedin.com/company/avalanchestudiosgroup
,Founder,,"United States, US",Camouflaj,www.camouflaj.com,51-200,"$1,000,000 to $5,000,000",https://www.linkedin.com/company/camouflaj-game-studio
Simon Hade,Founder and Chief Operations Officer,https://www.linkedin.com/in/simonhade,"United Kingdom, GB",Space Ape Games,www.spaceapegames.com,51-200,"$10,000,000 to $50,000,000",https://www.linkedin.com/company/space-ape-games
Tim Bennison,Chief Operating Officer,https://www.linkedin.com/in/tim-bennison-3b45a93,"Canada, CA",Hothead Games,www.hotheadgames.com,51-200,"$10,000,000 to $50,000,000",https://ca.linkedin.com/company/hothead-games
Laura Nemecek,Human Resources Business Partner,https://www.linkedin.com/in/lauranemecek,"United Kingdom, GB",Frontier Developments,www.frontier.co.uk,501-1000,"$10,000,000 to $50,000,000",https://www.linkedin.com/company/frontier-developments
Michael Leznik,Vice President of Data Science Product Madness and Aristocrat Digital,https://www.linkedin.com/in/michael-leznik-1a103a6,"United Kingdom, GB",Product Madness 📱🎮,www.productmadness.com,501-1000,"$10,000,000 to $50,000,000",https://www.linkedin.com/company/product-madness
Kate Watson,Associate Human Resources Business Partner,https://www.linkedin.com/in/kate-watson-cipd-12008679,"Ireland, IE",NaturalMotion,www.naturalmotion.com,201-500,"$10,000,000 to $50,000,000",https://www.linkedin.com/company/naturalmotion
Onur Baylan,Chief Financial Officer,https://www.linkedin.com/in/onur-baylan-89457417,"United Kingdom, GB",Gram Games,www.gram.gs,51-200,"$10,000,000 to $50,000,000",https://www.linkedin.com/company/gram-games
,Founder and Chief Executive Officer,,"Germany, DE",G2 Esports,www.g2esports.com,51-200,"$10,000,000 to $50,000,000",https://de.linkedin.com/company/g2esports
Daniel Clough,Co - Chief Executive Officer,https://www.linkedin.com/in/danielclough,"United Kingdom, GB",Bossa Games,www.bossastudios.com,51-200,"$10,000,000 to $50,000,000",https://www.linkedin.com/company/bossa-games
,Owner,,"United States, US",Koch Media GmbH,www.kochmedia.com,1001-5000,"$50,000,000 to $100,000,000",https://www.linkedin.com/company/koch-media-
David Braben,Chief Executive Officer and Founder,https://www.linkedin.com/in/david-braben-487b365,"United Kingdom, GB",Frontier Developments,www.frontier.co.uk,501-1000,"$10,000,000 to $50,000,000",https://www.linkedin.com/company/frontier-developments
